id,name,price,stock,available,description,category_id
22,Zaino urbano ZF-820,51.05,71,True,Il Zaino urbano ZF-820 è un prodotto di alta qualità per moda e accessori.,2
23,Cappello estivo MS-398,68.49,87,True,Il Cappello estivo MS-398 è un prodotto di alta qualità per moda e accessori.,2
24,Bracciale in acciaio TZ-962,207.31,94,True,Il Bracciale in acciaio TZ-962 è un prodotto di alta qualità per moda e accessori.,2
25,Collana con pendente EO-743,280.06,43,True,Il Collana con pendente EO-743 è un prodotto di alta qualità per moda e accessori.,2
26,Orecchini a cerchio LN-215,191.12,7,True,Il Orecchini a cerchio LN-215 è un prodotto di alta qualità per moda e accessori.,2
27,Guanti invernali SY-124,154.61,79,True,Il Guanti invernali SY-124 è un prodotto di alta qualità per moda e accessori.,2
28,Cappotto elegante NO-324,81.52,31,True,Il Cappotto elegante NO-324 è un prodotto di alta qualità per moda e accessori.,2
29,Sneaker casual OE-674,123.23,69,True,Il Sneaker casual OE-674 è un prodotto di alta qualità per moda e accessori.,2
30,Calze tecniche UZ-436,150.3,4,True,Il Calze tecniche UZ-436 è un prodotto di alta qualità per moda e accessori.,2
31,Smartphone GX-974,585.27,49,True,Il Smartphone GX-974 è un prodotto di alta qualità per elettronica.,3
32,Cuffie wireless CP-869,458.34,27,True,Il Cuffie wireless CP-869 è un prodotto di alta qualità per elettronica.,3
33,Smartwatch YE-331,971.63,64,True,Il Smartwatch YE-331 è un prodotto di alta qualità per elettronica.,3
34,Tablet RN-186,1352.29,20,True,Il Tablet RN-186 è un prodotto di alta qualità per elettronica.,3
35,Portatile ultraleggero SC-740,1517.4,28,True,Il Portatile ultraleggero SC-740 è un prodotto di alta qualità per elettronica.,3
36,Speaker Bluetooth IB-925,1540.94,0,False,Il Speaker Bluetooth IB-925 è un prodotto di alta qualità per elettronica.,3
37,Hard disk esterno UJ-520,640.92,14,True,Il Hard disk esterno UJ-520 è un prodotto di alta qualità per elettronica.,3
38,Action camera JG-722,1903.29,56,True,Il Action camera JG-722 è un prodotto di alta qualità per elettronica.,3
39,Caricabatterie rapido WM-553,718.5,89,True,Il Caricabatterie rapido WM-553 è un prodotto di alta qualità per elettronica.,3
40,Power bank JE-442,1533.65,19,True,Il Power bank JE-442 è un prodotto di alta qualità per elettronica.,3
41,Televisore 4K TB-727,1206.88,73,True,Il Televisore 4K TB-727 è un prodotto di alta qualità per elettronica.,3
42,Router Wi-Fi RJ-192,676.97,5,True,Il Router Wi-Fi RJ-192 è un prodotto di alta qualità per elettronica.,3
43,Mouse wireless NK-836,1199.16,0,False,Il Mouse wireless NK-836 è un prodotto di alta qualità per elettronica.,3
44,Tastiera meccanica YY-597,743.91,11,True,Il Tastiera meccanica YY-597 è un prodotto di alta qualità per elettronica.,3
45,Webcam HD NG-575,561.0,8,True,Il Webcam HD NG-575 è un prodotto di alta qualità per elettronica.,3
46,Crema viso idratante JO-228,11.8,34,True,Il Crema viso idratante JO-228 è un prodotto di alta qualità per bellezza e salute.,4
47,Siero anti-age RO-494,49.25,80,True,Il Siero anti-age RO-494 è un prodotto di alta qualità per bellezza e salute.,4
48,Shampoo ristrutturante KJ-439,8.99,7,True,Il Shampoo ristrutturante KJ-439 è un prodotto di alta qualità per bellezza e salute.,4
49,Balsamo nutriente AV-581,37.07,43,True,Il Balsamo nutriente AV-581 è un prodotto di alta qualità per bellezza e salute.,4
50,Profumo Eau de Parfum NK-462,30.32,10,True,Il Profumo Eau de Parfum NK-462 è un prodotto di alta qualità per bellezza e salute.,4
51,Rossetto opaco WF-224,31.13,51,True,Il Rossetto opaco WF-224 è un prodotto di alta qualità per bellezza e salute.,4
52,Smalto unghie MO-552,5.17,42,True,Il Smalto unghie MO-552 è un prodotto di alta qualità per bellezza e salute.,4
53,Olio per capelli KF-207,13.11,18,True,Il Olio per capelli KF-207 è un prodotto di alta qualità per bellezza e salute.,4
54,Detergente viso TT-484,2.06,84,True,Il Detergente viso TT-484 è un prodotto di alta qualità per bellezza e salute.,4
55,Maschera viso ZP-868,5.99,6,True,Il Maschera viso ZP-868 è un prodotto di alta qualità per bellezza e salute.,4
56,Crema corpo WN-749,31.21,15,True,Il Crema corpo WN-749 è un prodotto di alta qualità per bellezza e salute.,4
57,Fondotinta liquido DO-529,27.35,36,True,Il Fondotinta liquido DO-529 è un prodotto di alta qualità per bellezza e salute.,4
58,Gel doccia HB-647,6.52,80,True,Il Gel doccia HB-647 è un prodotto di alta qualità per bellezza e salute.,4
59,Spazzola lisciante IU-338,11.07,39,True,Il Spazzola lisciante IU-338 è un prodotto di alta qualità per bellezza e salute.,4
60,Deodorante spray MY-532,6.67,41,True,Il Deodorante spray MY-532 è un prodotto di alta qualità per bellezza e salute.,4
61,Tappetino yoga XU-392,36.2,37,True,Il Tappetino yoga XU-392 è un prodotto di alta qualità per sport e tempo libero.,5
62,Pallone da calcio AJ-869,28.51,82,True,Il Pallone da calcio AJ-869 è un prodotto di alta qualità per sport e tempo libero.,5
63,Scarpe da corsa KW-371,173.15,73,True,Il Scarpe da corsa KW-371 è un prodotto di alta qualità per sport e tempo libero.,5
64,Borsa palestra JE-853,48.87,59,True,Il Borsa palestra JE-853 è un prodotto di alta qualità per sport e tempo libero.,5
65,Bicicletta da strada FT-218,86.54,6,True,Il Bicicletta da strada FT-218 è un prodotto di alta qualità per sport e tempo libero.,5
66,Casco ciclismo AR-624,15.87,17,True,Il Casco ciclismo AR-624 è un prodotto di alta qualità per sport e tempo libero.,5
67,Palla da basket FH-881,61.2,14,True,Il Palla da basket FH-881 è un prodotto di alta qualità per sport e tempo libero.,5
68,Set pesi manubri LY-417,67.56,49,True,Il Set pesi manubri LY-417 è un prodotto di alta qualità per sport e tempo libero.,5
69,Racchetta da tennis DB-696,194.89,95,True,Il Racchetta da tennis DB-696 è un prodotto di alta qualità per sport e tempo libero.,5
70,Tenda da campeggio QV-617,289.14,37,True,Il Tenda da campeggio QV-617 è un prodotto di alta qualità per sport e tempo libero.,5
71,Sacco da boxe GQ-812,104.37,17,True,Il Sacco da boxe GQ-812 è un prodotto di alta qualità per sport e tempo libero.,5
72,Orologio sportivo SN-183,145.4,97,True,Il Orologio sportivo SN-183 è un prodotto di alta qualità per sport e tempo libero.,5
73,Gilet termico ZY-169,186.2,50,True,Il Gilet termico ZY-169 è un prodotto di alta qualità per sport e tempo libero.,5
74,Pattini a rotelle JX-430,191.15,89,True,Il Pattini a rotelle JX-430 è un prodotto di alta qualità per sport e tempo libero.,5
75,Borraccia termica AW-298,63.58,4,True,Il Borraccia termica AW-298 è un prodotto di alta qualità per sport e tempo libero.,5
76,Puzzle 1000 pezzi NQ-952,45.5,16,True,Il Puzzle 1000 pezzi NQ-952 è un prodotto di alta qualità per giocattoli e bambini.,6
77,Costruzioni in legno GG-523,35.94,78,True,Il Costruzioni in legno GG-523 è un prodotto di alta qualità per giocattoli e bambini.,6
78,Bambola fashion DF-155,45.78,2,True,Il Bambola fashion DF-155 è un prodotto di alta qualità per giocattoli e bambini.,6
79,Macchinina RC RL-633,23.28,22,True,Il Macchinina RC RL-633 è un prodotto di alta qualità per giocattoli e bambini.,6
80,Peluche orsetto EP-252,14.22,98,True,Il Peluche orsetto EP-252 è un prodotto di alta qualità per giocattoli e bambini.,6
